Motor Name,Index,D (in),P (in),Power (W),RPM,Thrust (N),Speed (m/s),Weight,KV,Max Amps
Justgofly 450T2,923,8,4,213,11760,9.1790244,19.89328,0,0,0
LightFlightRC 28-37-2 Black,924,8,4,214,11760,9.11037785,19.89328,0,0,0
Medusa 28-32-1500,925,8,4,223,11310,8.46313895,19.133312,0,0,0
LightFlightRC 28-37-2 Silver #1,926,8,4,228,11940,9.6497436,20.206208,0,0,0
MP Jet 26/45-20D,927,8,4,228,12090,9.610517,20.474432,0,0,0
Exceed Helium 2220-3700,928,8,4,244,12420,10.2969825,21.01088,0,0,0
LightFlightRC 28-47-3 U. Black,929,8,4,290,12300,10.787315,20.832064,0,0,0
Rimfire 35-30-1250,930,8,4,360,13410,12.4936721,22.709632,0,0,0
ARC 2221-3700,931,8,4,414,14430,14.4157755,24.453088,0,0,0
Exceed Rocket 3010-1820,932,8,4,416,14250,13.72931,24.14016,0,0,0
Feigao 1308422S,933,8,6,26,5160,1.765197,13.098272,0,0,0
Mega RCn 400/15/7,934,8,6,27,5280,2.0986231,13.4112,0,0,0
Motrolfly 2210-1050,935,8,6,30,5430,2.1182364,13.813536,0,0,0
Mega RCn 400/7/12,936,8,6,32,5430,2.20649625,13.813536,0,0,0
Hyperion Z2213-24,937,8,6,35,5640,2.16726965,14.30528,0,0,0
Feigao 1308422S,938,8,6,38,5850,2.2359162,14.841728,0,0,0
Mega RCn 400/15/6,939,8,6,38,5880,2.50069575,14.931136,0,0,0
Mega RCn 400/15/7,940,8,6,38,5880,2.61837555,14.931136,0,0,0
AXI 2212/26,941,8,6,38,5940,2.42224255,15.109952,0,0,0
Mini AC 1215-20,942,8,6,41,5670,2.30456275,14.394688,0,0,0
Motrolfly 2210-1050,943,8,6,42,6030,2.6477955,15.333472,0,0,0
Ammo 20-40-3500,944,8,6,44,5940,2.5693423,15.109952,0,0,0
Mega RCn 400/7/12,945,8,6,45,6030,2.8047019,15.333472,0,0,0
Hacker A20-22L,946,8,6,45,6120,2.61837555,15.556992,0,0,0
