D (in),P (in),Power (W),RPM,Thrust (N),Speed (m/s),Weight,KV,Max Amps
7,5,54,8520,3.10870805,18.015712,0,0,0
7,5,54,8550,3.06948145,18.10512,0,0,0
7,5,54,8550,3.2165812,18.10512,0,0,0
7,5,54,8580,3.16754795,18.149824,0,0,0
7,5,54,8700,3.20677455,18.418048,0,0,0
7,5,54,8700,3.2361945,18.418048,63,1435,0
7,5,55,8280,3.10870805,17.523968,0,0,0
7,5,55,8310,2.97141495,17.613376,0,0,0
7,5,56,7560,2.5105024,16.004032,25,1400,6
7,5,56,8700,3.34406765,18.418048,0,0,0
7,5,56,8760,3.36368095,18.55216,0,0,0
7,5,56,8790,3.3931009,18.596864,0,0,0
7,5,56,8790,3.3931009,18.596864,0,0,0
7,5,56,8940,3.42252085,18.909792,0,0,0
7,5,57,8190,2.93218835,17.345152,0,0,0
7,5,57,8490,2.941995,17.971008,0,0,0
7,5,57,8700,3.28522775,18.418048,0,0,0
7,5,57,8760,3.34406765,18.55216,0,0,0
7,5,57,8820,3.3734876,18.686272,0,0,0
7,5,57,8820,3.3734876,18.686272,0,0,0
7,5,58,8550,3.1185147,18.10512,0,0,0
7,5,58,8880,3.48136075,18.77568,0,0,0
7,5,59,8850,3.40290755,18.730976,0,0,0
7,5,59,8910,3.1577413,18.865088,0,0,0
7,5,60,8430,3.14793465,17.836896,0,0,0
7,5,60,8580,3.3146477,18.149824,0,0,0
7,5,60,8640,3.2361945,18.283936,0,0,0
7,5,60,8940,3.61865385,18.909792,0,0,0
7,5,60,9120,3.2558078,19.312128,0,0,0
7,5,60,9150,3.6284605,19.356832,0,0,0
7,5,61,8730,3.4127142,18.462752,31,1210,0
7,5,61,8940,3.46174745,18.909792,0,0,0
7,5,61,8970,3.52058735,18.9992,0,0,0
7,5,61,9030,3.32445435,19.133312,0,0,0
7,5,62,8730,3.36368095,18.462752,0,0,0
7,5,62,8730,3.36368095,18.462752,0,0,0
7,5,62,8760,3.42252085,18.55216,0,0,0
7,5,62,9060,3.5892339,19.178016,0,0,0
7,5,62,9060,3.5892339,19.178016,0,0,0
